"","Site1","Site2","rxy","wang","lynchli","lxy","SPDistance","GDistance","NDistance","F1Distance"
"100","ESPO","VP",0.000455771824128184,-0.00186423258333587,0.00178696140823901,-0.00123327202022937,14.33467183,14.49805545,0.12,0.0107952937371124
"101","FIG","FIG",9.43355129458339e-05,0.00341377300908313,0.00980232727997518,-0.00170336513409001,0,0,0,0
"102","FIG","GROVE",-0.000175112518788535,-0.000314351705666916,0.00138185969286744,-0.00131162262445543,254.4268665,254.5207928,0.103,0.00808484042016976
"103","FIG","ONS",0.000737103866757332,0.00170903234770105,0.00567658376074263,-0.0013397628120848,247.2585197,246.4521534,0.099,0.00647161246817034
"104","FIG","SALV",0.00762744748328773,0.00355056880909212,0.0139597397510193,-0.00167513204542559,258.1431612,256.4446932,0.107,0.0053484537740781
"105","FIG","SES",0.00234600021104175,0.00259791984861193,0.00898385645128326,-0.00223360472853035,240.9938555,196.9017478,0.119,0.00879670728754741
"106","FIG","SIL",-0.00281121309301584,-0.00365186712326488,0.00123265881465084,-0.00314030600594647,215.001961,215.2858454,0.138,0.0151150632924242
"107","FIG","SIN",0.00212510518148513,-0.00310087543829093,0.00555652793707503,-0.0021164920566679,322.2133447,256.3117949,0.15,0.0116644915880098
"108","FIG","VP",0.00162130670725692,0.00115447694369948,0.00514620538427189,-0.0012477421623848,172.1964231,169.3210043,0.117,0.00519686780655992
"109","GROVE","GROVE",-0.00558521960292121,-0.00721500850576951,-0.0107676392980827,-0.0020085380397805,0,0,0,0
"110","GROVE","ONS",-0.00194679334438985,-0.00463993406641172,-0.00462847811381905,-0.00162982482845049,7.168346802,8.21274335,0.096,0.00711019799786493
"111","GROVE","SALV",0.00367207932118083,-0.00116210442522736,0.00365645080578769,-0.000427265077022916,6.358447487,6.449466445,0.097,0.00956053829767902
"112","GROVE","SES",-0.000222684800484038,-0.00149760549877883,-0.000869146381470275,-0.00225412922671257,493.8319887,450.9190788,0.107,0.0133149585554182
"113","GROVE","SIL",-0.00196528178968344,-0.00402024982874788,-0.00498234098054086,-0.00108490907990018,39.42490549,39.37042402,0.118,0.00469191122542272
"114","GROVE","SIN",-0.00113596872410157,-0.00801624023702243,-0.00600240908015704,-0.00371254209761872,575.0514779,510.79756,0.145,0.0146103896103896
"115","GROVE","VP",-1.39715419669634e-05,-0.00318216017225507,-0.00385176934429653,-0.00100395149314588,89.76809613,85.55029392,0.103,0.0103969849753968
"116","ONS","ONS",0.00107804257596529,0.0019525484073225,0.000722405900025056,-0.00227812605194185,0,0,0,0
"117","ONS","SALV",0.00236586197175807,-0.00125387514826048,0.00486761381166616,-0.00245106871584018,10.88464149,12.55122347,0.106,0.00960130844329574
