"","Site1","Site2","distance_metric","distance","n","upr","lwr","estimator","relatedness"
"83","ERI","ESPO","SPDistance",317.0697597,0.123702321709902,0.198925364978608,0.0484792784411968,"n",0.123702321709902
"84","ERI","FIG","SPDistance",160.012996,0.18531724352123,0.259466496949995,0.111167990092464,"n",0.18531724352123
"85","ERI","GROVE","SPDistance",413.0493519,0.0966282529184154,0.174149282228738,0.0191072236080929,"n",0.0966282529184154
"86","ERI","ONS","SPDistance",405.9208801,0.0984172945385918,0.175878890712745,0.0209556983644388,"n",0.0984172945385918
"87","ERI","SALV","SPDistance",409.3159594,0.097561133270726,0.175053424847421,0.0200688416940311,"n",0.097561133270726
"88","ERI","SES","SPDistance",81.06229812,0.22706846969602,0.319714629638251,0.134422309753789,"n",0.22706846969602
"89","ERI","SIL","SPDistance",373.843266,0.106886702778072,0.183845838798784,0.0299275667573588,"n",0.106886702778072
"90","ERI","SIN","SPDistance",162.2817874,0.184238363187562,0.258167959074669,0.110308767300456,"n",0.184238363187562
"91","ERI","VP","SPDistance",331.3144646,0.119249602454497,0.194993202521489,0.0435060023875041,"n",0.119249602454497
"92","ESPO","ESPO","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"93","ESPO","FIG","SPDistance",157.8730176,0.186340658598505,0.260709780362331,0.11197153683468,"n",0.186340658598505
"94","ESPO","GROVE","SPDistance",104.102768,0.213995745972263,0.298756244698569,0.129235247245956,"n",0.213995745972263
"95","ESPO","ONS","SPDistance",96.93442116,0.217980177641506,0.304949616191969,0.131010739091044,"n",0.217980177641506
"96","ESPO","SALV","SPDistance",107.8190626,0.211958843321895,0.295657962536142,0.128259724107647,"n",0.211958843321895
"97","ESPO","SES","SPDistance",397.9342655,0.100461079252104,0.17783335476686,0.0230888037373476,"n",0.100461079252104
"98","ESPO","SIL","SPDistance",64.67786247,0.236847749009178,0.336539509889508,0.137155988128849,"n",0.236847749009178
"99","ESPO","SIN","SPDistance",479.1537548,0.0815119106113188,0.158690492875187,0.00433332834745091,"n",0.0815119106113188
"100","ESPO","VP","SPDistance",14.33467183,0.269610279697931,0.398960549036055,0.140260010359807,"n",0.269610279697931
"101","FIG","FIG","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"102","FIG","GROVE","SPDistance",254.4268665,0.14534231454602,0.21811032590671,0.0725743031853303,"n",0.14534231454602
"103","FIG","ONS","SPDistance",247.2585197,0.148048473563649,0.220582917518398,0.0755140296088992,"n",0.148048473563649
"104","FIG","SALV","SPDistance",258.1431612,0.143958884458228,0.216856629502428,0.0710611394140275,"n",0.143958884458228
"105","FIG","SES","SPDistance",240.9938555,0.150454705564377,0.222806788844227,0.0781026222845271,"n",0.150454705564377
"106","FIG","SIL","SPDistance",215.001961,0.160863010976924,0.232774552980063,0.0889514689737843,"n",0.160863010976924
"107","FIG","SIN","SPDistance",322.2133447,0.122075639695212,0.197491763658546,0.0466595157318776,"n",0.122075639695212
"108","FIG","VP","SPDistance",172.1964231,0.179596865955432,0.252720300757826,0.106473431153038,"n",0.179596865955432
"109","GROVE","GROVE","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"110","GROVE","ONS","SPDistance",7.168346802,0.274628781079514,0.409223634361221,0.140033927797808,"n",0.274628781079514
"111","GROVE","SALV","SPDistance",6.358447487,0.275201788048373,0.410405842390742,0.139997733706004,"n",0.275201788048373
"112","GROVE","SES","SPDistance",493.8319887,0.0784902330866456,0.155385309445992,0.0015951567272993,"n",0.0784902330866456
"113","GROVE","SIL","SPDistance",39.42490549,0.252751528084699,0.365773005608161,0.139730050561237,"n",0.252751528084699
"114","GROVE","SIN","SPDistance",575.0514779,0.0636852491780569,0.137860309737558,-0.0104898113814446,"n",0.0636852491780569
"115","GROVE","VP","SPDistance",89.76809613,0.222037640970373,0.311433718037107,0.132641563903639,"n",0.222037640970373
"116","ONS","ONS","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"117","ONS","SALV","SPDistance",10.88464149,0.272014747315948,0.403857228055291,0.140172266576604,"n",0.272014747315948
"118","ONS","SES","SPDistance",486.709202,0.0799422853628811,0.156983767825032,0.00290080290072989,"n",0.0799422853628811
"119","ONS","SIL","SPDistance",32.25655869,0.257457561761693,0.374825307331384,0.140089816192001,"n",0.257457561761693
"120","ONS","SIN","SPDistance",567.9286912,0.0648634124653227,0.139346080480522,-0.00961925554987679,"n",0.0648634124653227
"121","ONS","VP","SPDistance",82.59974933,0.226171806345692,0.318219515042062,0.134124097649322,"n",0.226171806345692
"122","SALV","SALV","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"123","SALV","SES","SPDistance",490.0957515,0.0792485833109173,0.156222509106159,0.0022746575156754,"n",0.0792485833109173
"124","SALV","SIL","SPDistance",43.14120018,0.250345731336218,0.361212989198609,0.139478473473827,"n",0.250345731336218
"125","SALV","SIN","SPDistance",571.3152408,0.0643005578578618,0.138638439269486,-0.0100373235537624,"n",0.0643005578578618
"126","SALV","VP","SPDistance",93.48439082,0.219924192087453,0.308034239054686,0.13181414512022,"n",0.219924192087453
"127","SES","SES","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"128","SES","SIL","SPDistance",454.6571,0.0868161062110068,0.164305328300347,0.00932688412166667,"n",0.0868161062110068
"129","SES","SIN","SPDistance",81.21948924,0.226976630696571,0.31956111794145,0.134392143451692,"n",0.226976630696571
"130","SES","VP","SPDistance",412.167751,0.0968477349942723,0.174362452093215,0.0193330178953298,"n",0.0968477349942723
"131","SIL","SIL","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
